objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,Baguio.jpg,,,Walking on the road of the subdivision in Baguio,Dave G. Galamgam,2024-07-01,A photographic picture of Ej,Baguio;apartment;picture,"Baguio, Philippines",,,Iphone,pic_1,Image,image/jpg,eng,,
coll002,McDo.jpg,,,"Eating lunch at McDo, Surigao City",Dave G. Galamgam,2024-08,Selfie picture with my sister,McDo;lunch,"Surigao City, Philippines",,,Iphone,pic_2,Image,image/jpg,eng,,
coll003,Greenwich.jpg,,,"Eating lunch at Greenwich, Surigao City",Dave G. Galamgam,2025-02,Dave took a picture of his brother.,Greenwich;lunch,"Surigao City, Philippines",,,Iphone,pic_3,Image,image/jpg,eng,,
coll004,Arrival.jpg,,,Arrival at Siargao Dapa Port,Ej G. Galamgam,2025-10-28,A beautiful sunset after we arrive at Siargao Port of Dapa,Arriving; Vacation,Siargao Island,,,Iphone,pic_4,Image,image/jpg,eng,,
coll005,,,,,,,,,,,,,,,,,,
coll006,,,,,,,,,,,,,,,,,,
coll007,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,
